date,platform,age_group,region,device,campaign_type,hour,impressions,month,click_rate,clicks,cpc,cost,conversion_rate,conversions,day,fatigue_factor
2025-02-09,Google,26-35,West India,Mobile,Video,20,17151,2,0.08445164227655452,1448,0.9,1303.2,0.1723906751710426,248,39,0.99844
2025-02-10,Google,36-50,West India,Mobile,Video,6,93526,2,0.07183320362485834,6718,0.9,6046.2,0.06401197304934397,429,40,0.9984
2025-02-11,Google,26-35,West India,Mobile,Image,3,81916,2,0.051096383652018504,4185,0.9,3766.5,0.06898977854368075,287,41,0.99836
2025-02-12,Google,26-35,South India,Mobile,Video,11,97571,2,0.05175181467016303,5049,0.9,4544.1,0.2361027900449712,1189,42,0.99832
2025-02-13,Instagram,18-25,North India,Mobile,Video,16,46813,2,0.09446469610866891,4422,1.3,5748.6,0.0994901598925906,438,43,0.99828
2025-02-14,Google,26-35,South India,Mobile,Text,19,53627,2,0.07969403872914092,4273,0.9,3845.7000000000003,0.07458093640893669,317,44,0.99824
2025-02-15,Instagram,26-35,North India,Mobile,Video,2,27117,2,0.09207122222087205,2496,1.3,3244.8,0.059207031805365636,146,45,0.9982
2025-02-16,Google,18-25,South India,Mobile,Video,8,69034,2,0.05524553617639686,3813,0.9,3431.7000000000003,0.18120694303417062,688,46,0.99816
2025-02-17,Google,18-25,North India,Mobile,Image,4,26483,2,0.05594683064182082,1481,0.9,1332.9,0.105597700128051,155,47,0.99812
2025-02-18,Google,36-50,South India,Desktop,Text,19,72264,2,0.041197212609662796,2977,0.9,2679.3,0.058023409910544756,171,48,0.99808
2025-02-19,Google,26-35,West India,Mobile,Video,15,57469,2,0.06825047610709302,3922,0.9,3529.8,0.1543269032438604,603,49,0.99804
2025-02-20,Instagram,36-50,South India,Desktop,Image,7,19877,2,0.06991765346299268,1389,1.3,1805.7,0.12496709503360483,172,50,0.998
2025-02-21,Instagram,36-50,South India,Desktop,Image,20,63396,2,0.09815786419096152,6222,1.3,8088.6,0.13100157590214698,813,51,0.99796
2025-02-22,Instagram,18-25,West India,Mobile,Image,15,93239,2,0.09230526185002996,8606,1.3,11187.800000000001,0.17927967277976484,1538,52,0.99792
2025-02-23,Instagram,36-50,West India,Mobile,Image,18,4088,2,0.05073037616264191,207,1.3,269.1,0.0440057819118516,8,53,0.99788
2025-02-24,Instagram,26-35,North India,Desktop,Image,15,24179,2,0.08548659277321057,2066,1.3,2685.8,0.15969129740586852,328,54,0.99784
2025-02-25,Instagram,18-25,North India,Mobile,Image,17,48954,2,0.0855986453531926,4190,1.3,5447.0,0.14997147129044644,626,55,0.9978
2025-02-26,Google,26-35,North India,Desktop,Video,14,23011,2,0.02641953416558794,607,0.9,546.3000000000001,0.1118887148157611,66,56,0.99776
2025-02-27,Google,26-35,South India,Mobile,Text,23,13839,2,0.055561878528486104,768,0.9,691.2,0.1527158776912617,116,57,0.99772
2025-02-28,Google,18-25,North India,Mobile,Text,17,53903,2,0.03213707090107278,1732,0.9,1558.8,0.10561984845025058,181,58,0.99768
2025-03-01,Google,26-35,South India,Mobile,Image,13,64561,3,0.052645105388707224,3398,0.9,3058.2000000000003,0.19905665512918502,674,59,0.99764
2025-03-02,Google,18-25,South India,Mobile,Image,23,24625,3,0.06518938732159481,1605,0.9,1444.5,0.14914741145537694,238,60,0.9976
2025-03-03,Google,26-35,North India,Mobile,Text,15,19481,3,0.05840763377642782,1137,0.9,1023.3000000000001,0.06240923865553657,69,61,0.99756
2025-03-04,Instagram,18-25,North India,Mobile,Video,4,98289,3,0.10892271560339184,10705,1.3,13916.5,0.1513214261841293,1614,62,0.99752
2025-03-05,Google,36-50,South India,Desktop,Image,7,20558,3,0.021766199491662565,447,0.9,402.3,0.07873314479936526,34,63,0.99748
2025-03-06,Google,26-35,West India,Desktop,Text,15,83307,3,0.03364984635464444,2803,0.9,2522.7000000000003,0.05583437573426666,155,64,0.99744
2025-03-07,Google,18-25,West India,Mobile,Text,20,32104,3,0.03318445094987743,1065,0.9,958.5,0.12301661525851436,130,65,0.9974
2025-03-08,Google,26-35,South India,Desktop,Image,0,99602,3,0.029432909386064226,2931,0.9,2637.9,0.20890253884112808,610,66,0.99736
2025-03-09,Instagram,26-35,North India,Desktop,Text,10,54586,3,0.06323405017485094,3451,1.3,4486.3,0.10871241749434182,373,67,0.99732
2025-03-10,Google,26-35,South India,Desktop,Video,10,45420,3,0.05606675053750146,2546,0.9,2291.4,0.21984771003262701,557,68,0.9972799999999999
2025-03-11,Instagram,18-25,South India,Mobile,Text,1,5061,3,0.07866247011659416,398,1.3,517.4,0.06538278466670314,25,69,0.99724
2025-03-12,Instagram,36-50,North India,Desktop,Image,21,34241,3,0.1038555883976964,3556,1.3,4622.8,0.13751097657344222,486,70,0.9972
2025-03-13,Google,36-50,West India,Mobile,Image,18,63055,3,0.030737222594844328,1938,0.9,1744.2,0.15687853061045665,303,71,0.99716
2025-03-14,Google,36-50,South India,Mobile,Text,23,82697,3,0.06370191318912279,5267,0.9,4740.3,0.047132074808862875,247,72,0.99712
2025-03-15,Instagram,18-25,West India,Desktop,Text,4,71593,3,0.04410456233464866,3157,1.3,4104.1,0.050118809101015356,157,73,0.99708
2025-03-16,Instagram,36-50,West India,Mobile,Image,2,45173,3,0.10498181821354517,4742,1.3,6164.6,0.1643634556013658,776,74,0.99704
2025-03-17,Instagram,18-25,North India,Mobile,Video,22,6289,3,0.09123511938668842,573,1.3,744.9,0.12739762576789904,71,75,0.997
2025-03-18,Instagram,26-35,South India,Desktop,Text,7,66180,3,0.09316525850500944,6165,1.3,8014.5,0.0995396086050096,611,76,0.99696
2025-03-19,Google,26-35,South India,Mobile,Video,3,3221,3,0.06250484895905167,201,0.9,180.9,0.24517273166579615,48,77,0.99692
2025-03-20,Google,36-50,West India,Desktop,Video,12,64137,3,0.047818342963000714,3066,0.9,2759.4,0.23611528434055037,720,78,0.99688
2025-03-21,Google,18-25,West India,Desktop,Image,21,43942,3,0.04316931394703166,1896,0.9,1706.4,0.16171521868346903,305,79,0.99684
2025-03-22,Instagram,26-35,North India,Mobile,Image,13,22635,3,0.03933866037024543,890,1.3,1157.0,0.1577564691827749,139,80,0.9968
2025-03-23,Instagram,18-25,West India,Mobile,Image,0,53763,3,0.06312981082519027,3394,1.3,4412.2,0.07608143362633511,257,81,0.99676
2025-03-24,Google,18-25,North India,Desktop,Video,4,85562,3,0.027858614129465702,2383,0.9,2144.7000000000003,0.08390709865721022,198,82,0.99672
2025-03-25,Google,26-35,South India,Mobile,Image,20,52072,3,0.09903298709279357,5156,0.9,4640.400000000001,0.21452766890919325,1102,83,0.99668
2025-03-26,Google,18-25,North India,Desktop,Image,6,8075,3,0.04730580899253592,381,0.9,342.90000000000003,0.14349191852830734,53,84,0.99664
2025-03-27,Google,26-35,West India,Desktop,Video,22,23378,3,0.054972419101532555,1285,0.9,1156.5,0.17970397066659058,229,85,0.9966
2025-03-28,Instagram,26-35,South India,Mobile,Video,5,36084,3,0.10522390359924988,3796,1.3,4934.8,0.11625629075509814,439,86,0.99656
2025-03-29,Instagram,26-35,North India,Mobile,Video,14,51426,3,0.0768293465455556,3951,1.3,5136.3,0.20579031478742965,810,87,0.99652
2025-03-30,Instagram,18-25,South India,Desktop,Video,14,80217,3,0.06746339403181417,5411,1.3,7034.3,0.06711384394165329,361,88,0.99648
2025-03-31,Google,26-35,North India,Mobile,Text,7,32584,3,0.05484865711431074,1787,0.9,1608.3,0.0696766837781667,123,89,0.99644
2025-04-01,Google,18-25,West India,Mobile,Image,1,32245,4,0.0779193685310049,2512,0.9,2260.8,0.0782637424464088,195,90,0.9964
2025-04-02,Instagram,26-35,West India,Desktop,Text,13,59959,4,0.03868437911826808,2319,1.3,3014.7000000000003,0.14234452003356912,328,91,0.99636
2025-04-03,Instagram,26-35,South India,Desktop,Video,15,5983,4,0.07184091384522948,429,1.3,557.7,0.2219960138691195,94,92,0.99632
2025-04-04,Instagram,36-50,South India,Mobile,Video,22,98785,4,0.11175962354773812,11040,1.3,14352.0,0.18194205474920386,2000,93,0.99628
2025-04-05,Instagram,36-50,South India,Mobile,Video,9,97927,4,0.08689002471852057,8508,1.3,11060.4,0.06452635834713738,545,94,0.99624
2025-04-06,Google,36-50,North India,Mobile,Video,14,31897,4,0.06264432611464009,1998,0.9,1798.2,0.22206161925067452,441,95,0.9962
2025-04-07,Google,18-25,West India,Desktop,Video,22,41602,4,0.06606293897654454,2748,0.9,2473.2000000000003,0.25024636601169353,684,96,0.99616
2025-04-08,Google,18-25,South India,Desktop,Image,3,86538,4,0.036415223239018184,3151,0.9,2835.9,0.09018734170002983,282,97,0.99612
2025-04-09,Google,26-35,South India,Desktop,Text,11,77034,4,0.06624728998429667,5103,0.9,4592.7,0.1771779167970997,900,98,0.99608
2025-04-10,Google,26-35,South India,Mobile,Text,9,50411,4,0.03724695433245685,1877,0.9,1689.3,0.19776383583852672,369,99,0.99604
2025-04-11,Google,26-35,North India,Desktop,Image,1,69742,4,0.02164585191957278,1509,0.9,1358.1000000000001,0.09778507008905063,146,100,0.996
2025-04-12,Instagram,26-35,South India,Desktop,Image,3,79466,4,0.08020910854531603,6373,1.3,8284.9,0.08699850192501402,551,101,0.99596
2025-04-13,Google,18-25,South India,Mobile,Image,19,76856,4,0.0626912981188639,4818,0.9,4336.2,0.23344940162002698,1119,102,0.99592
2025-04-14,Google,26-35,North India,Mobile,Text,5,94550,4,0.08959432686310219,8471,0.9,7623.900000000001,0.0468647749690398,394,103,0.99588
2025-04-15,Instagram,26-35,North India,Desktop,Text,13,98353,4,0.09192670358937753,9041,1.3,11753.300000000001,0.07619682068483184,685,104,0.99584
2025-04-16,Google,36-50,South India,Mobile,Video,22,39126,4,0.03670513190239309,1436,0.9,1292.4,0.2279124101964684,325,105,0.9958
2025-04-17,Google,26-35,South India,Mobile,Text,2,93288,4,0.07738629390049953,7219,0.9,6497.1,0.1418538848945684,1019,106,0.99576
2025-04-18,Instagram,26-35,North India,Mobile,Text,14,71043,4,0.07688392832257589,5462,1.3,7100.6,0.13162072333782468,714,107,0.99572
2025-04-19,Google,26-35,West India,Mobile,Image,0,56610,4,0.05887773532394398,3333,0.9,2999.7000000000003,0.16695937880155565,553,108,0.99568
2025-04-20,Google,18-25,North India,Mobile,Text,18,24925,4,0.03752894694208688,935,0.9,841.5,0.13184232543285704,122,109,0.99564
2025-04-21,Google,36-50,West India,Mobile,Video,0,37276,4,0.06957284894824028,2593,0.9,2333.7000000000003,0.12659583339473995,326,110,0.9956
2025-04-22,Google,26-35,South India,Desktop,Text,12,24689,4,0.031435774621658495,776,0.9,698.4,0.093810455595761,71,111,0.99556
2025-04-23,Instagram,26-35,South India,Desktop,Image,7,64942,4,0.107937661183358,7009,1.3,9111.7,0.13198061743475925,920,112,0.99552
2025-04-24,Instagram,36-50,West India,Desktop,Image,17,55146,4,0.09972380211969939,5499,1.3,7148.7,0.18369084076436504,1005,113,0.99548
2025-04-25,Instagram,26-35,North India,Mobile,Video,21,16238,4,0.11844448282591921,1923,1.3,2499.9,0.23441766869023511,447,114,0.99544
2025-04-26,Instagram,18-25,South India,Desktop,Video,2,61424,4,0.03292700387968263,2022,1.3,2628.6,0.16431537668724114,330,115,0.9954
2025-04-27,Instagram,26-35,West India,Desktop,Text,22,25807,4,0.10234261020455802,2641,1.3,3433.3,0.05304740439448604,139,116,0.99536
2025-04-28,Google,18-25,North India,Mobile,Video,17,75457,4,0.07851112611018378,5924,0.9,5331.6,0.23442293491138372,1381,117,0.99532
2025-04-29,Instagram,18-25,West India,Mobile,Video,19,12204,4,0.053858693293759835,657,1.3,854.1,0.0738143268465302,47,118,0.99528
2025-04-30,Google,26-35,North India,Mobile,Image,8,66245,4,0.08059695640852581,5339,0.9,4805.1,0.07099389319791956,377,119,0.99524
2025-05-01,Instagram,36-50,North India,Desktop,Image,5,39567,5,0.07462868841210019,2952,1.3,3837.6,0.15340117572057704,449,120,0.9952
2025-05-02,Instagram,18-25,North India,Mobile,Text,19,36697,5,0.10053162030350007,3689,1.3,4795.7,0.09464464900506375,347,121,0.99516
2025-05-03,Google,36-50,North India,Desktop,Text,1,91429,5,0.03927514635499784,3590,0.9,3231.0,0.0721711746684241,257,122,0.99512
2025-05-04,Google,26-35,West India,Mobile,Text,3,2530,5,0.07124846210177459,180,0.9,162.0,0.1447782527030364,25,123,0.99508
2025-05-05,Google,18-25,West India,Mobile,Text,17,97777,5,0.023234234534257513,2271,0.9,2043.9,0.1483002602719848,334,124,0.99504
2025-05-06,Google,26-35,West India,Desktop,Image,6,25297,5,0.04316411737335534,1091,0.9,981.9,0.0863067771788184,93,125,0.995
2025-05-07,Instagram,36-50,West India,Mobile,Text,10,75838,5,0.07186068597944886,5449,1.3,7083.7,0.13734247313606843,744,126,0.99496
2025-05-08,Instagram,26-35,West India,Mobile,Text,4,49906,5,0.07869558470023257,3927,1.3,5105.1,0.11474493337324228,447,127,0.99492
2025-05-09,Google,26-35,North India,Desktop,Video,7,67251,5,0.03107190470892569,2089,0.9,1880.1000000000001,0.08940882311466618,185,128,0.99488
2025-05-10,Google,18-25,South India,Desktop,Text,10,76069,5,0.04007111213297104,3048,0.9,2743.2000000000003,0.16063353795268154,486,129,0.99484
2025-05-11,Google,26-35,South India,Mobile,Video,23,61748,5,0.032290522982556996,1993,0.9,1793.7,0.06445517201462822,127,130,0.9948
2025-05-12,Google,26-35,West India,Mobile,Image,19,41295,5,0.05729584935392731,2366,0.9,2129.4,0.08451192188757425,197,131,0.99476
2025-05-13,Google,26-35,West India,Mobile,Text,19,53464,5,0.07689167135034974,4110,0.9,3699.0,0.08115513167506853,331,132,0.99472
2025-05-14,Google,18-25,South India,Desktop,Video,14,8223,5,0.05604279768722317,460,0.9,414.0,0.18043271460811874,81,133,0.99468
2025-05-15,Instagram,36-50,North India,Mobile,Text,23,14421,5,0.07373087520425388,1063,1.3,1381.9,0.03664485363672623,37,134,0.99464
2025-05-16,Google,36-50,West India,Mobile,Video,2,94232,5,0.05595159422290272,5272,0.9,4744.8,0.19748251951051857,1035,135,0.9946
2025-05-17,Google,26-35,North India,Mobile,Text,6,15066,5,0.022001128487849225,331,0.9,297.90000000000003,0.10681158776092056,34,136,0.99456
2025-05-18,Instagram,18-25,South India,Desktop,Image,23,22576,5,0.038848316357181195,877,1.3,1140.1000000000001,0.08635351599656246,74,137,0.99452
2025-05-19,Google,26-35,South India,Desktop,Image,7,83121,5,0.061885633742662045,5143,0.9,4628.7,0.14538468245919864,742,138,0.99448
2025-05-20,Instagram,36-50,West India,Desktop,Video,10,3140,5,0.0666645246333542,209,1.3,271.7,0.13820321854643033,27,139,0.99444
2025-05-21,Instagram,18-25,North India,Mobile,Video,9,60016,5,0.05720177088275488,3433,1.3,4462.900000000001,0.09926961162714597,338,140,0.9944
2025-05-22,Google,36-50,West India,Desktop,Image,19,42378,5,0.0627633175128631,2659,0.9,2393.1,0.04400350585667503,116,141,0.99436
2025-05-23,Google,36-50,South India,Mobile,Text,8,8370,5,0.055491316154430356,464,0.9,417.6,0.10953907854253268,49,142,0.99432
2025-05-24,Google,18-25,North India,Mobile,Video,14,52750,5,0.045017498375676174,2374,0.9,2136.6,0.05871616976168179,138,143,0.99428
2025-05-25,Google,18-25,West India,Desktop,Image,19,96052,5,0.0298390809587147,2866,0.9,2579.4,0.15342468981401647,436,144,0.99424
2025-05-26,Google,26-35,West India,Mobile,Video,23,13022,5,0.0475035768602027,618,0.9,556.2,0.06287230957432134,37,145,0.9942
2025-05-27,Instagram,26-35,West India,Mobile,Image,21,60222,5,0.09741919157528141,5866,1.3,7625.8,0.10002349854902473,582,146,0.99416
2025-05-28,Google,36-50,South India,Desktop,Image,4,19328,5,0.049316412994258395,953,0.9,857.7,0.11092097599559872,104,147,0.99412
2025-05-29,Google,18-25,West India,Mobile,Video,14,3929,5,0.04630520222429622,181,0.9,162.9,0.14144187923566762,24,148,0.99408
2025-05-30,Google,18-25,North India,Mobile,Video,3,44727,5,0.06874338705340269,3074,0.9,2766.6,0.051905459263267846,158,149,0.99404
2025-05-31,Instagram,26-35,West India,Mobile,Image,4,69919,5,0.08855231127338542,6191,1.3,8048.3,0.06853654265533024,421,150,0.994
2025-06-01,Google,36-50,South India,Mobile,Text,14,53692,6,0.04272587637729922,2294,0.9,2064.6,0.060338969736937656,137,151,0.99396
2025-06-02,Google,36-50,West India,Desktop,Image,16,50545,6,0.040933337740878054,2068,0.9,1861.2,0.11766309175384074,241,152,0.99392
2025-06-03,Google,26-35,South India,Mobile,Text,22,93968,6,0.03298112018697411,3099,0.9,2789.1,0.06831439666087284,209,153,0.99388
2025-06-04,Instagram,18-25,South India,Desktop,Text,7,77647,6,0.03312754859772999,2572,1.3,3343.6,0.05346136684708457,136,154,0.99384
2025-06-05,Google,26-35,North India,Mobile,Text,18,49338,6,0.04332077211403902,2137,0.9,1923.3,0.03265607408217863,68,155,0.9938
2025-06-06,Instagram,26-35,North India,Mobile,Video,8,60962,6,0.08922436831417052,5439,1.3,7070.7,0.17076340792505534,922,156,0.99376
2025-06-07,Instagram,26-35,West India,Mobile,Image,9,98435,6,0.05336441852011922,5252,1.3,6827.6,0.16721591021707116,872,157,0.99372
2025-06-08,Google,26-35,South India,Desktop,Image,4,24161,6,0.032057452320832604,774,0.9,696.6,0.14468722962098646,110,158,0.99368
2025-06-09,Instagram,18-25,South India,Mobile,Text,9,9823,6,0.10368419164293598,1018,1.3,1323.4,0.08685285367909636,87,159,0.99364
2025-06-10,Google,26-35,North India,Desktop,Text,21,93968,6,0.022110600583683297,2077,0.9,1869.3,0.04378867013488989,89,160,0.9936
2025-06-11,Instagram,18-25,North India,Mobile,Text,0,34089,6,0.0362919153438638,1237,1.3,1608.1000000000001,0.08171007328843231,100,161,0.99356
2025-06-12,Instagram,26-35,West India,Desktop,Image,21,61850,6,0.05447808338292698,3369,1.3,4379.7,0.09882378920024006,329,162,0.99352
2025-06-13,Google,36-50,South India,Desktop,Text,23,22053,6,0.04110847005555294,906,0.9,815.4,0.08774371839782387,78,163,0.99348
2025-06-14,Google,18-25,North India,Desktop,Image,3,18447,6,0.039022725693559634,719,0.9,647.1,0.08389865748475155,59,164,0.99344
2025-06-15,Instagram,36-50,West India,Desktop,Image,20,90841,6,0.0652775217919645,5929,1.3,7707.7,0.10406821018684542,612,165,0.9934
2025-06-16,Google,26-35,South India,Mobile,Video,4,4111,6,0.06113925431599853,251,0.9,225.9,0.06300760587482385,14,166,0.99336
2025-06-17,Google,26-35,South India,Desktop,Text,22,59820,6,0.07104144736232379,4249,0.9,3824.1,0.04029212457617999,169,167,0.99332
2025-06-18,Google,26-35,North India,Mobile,Text,6,94029,6,0.062408964972233694,5868,0.9,5281.2,0.03755417457087525,218,168,0.99328
2025-06-19,Instagram,18-25,West India,Mobile,Text,22,77521,6,0.10067856086092047,7804,1.3,10145.2,0.05490982817742773,425,169,0.99324
2025-06-20,Instagram,36-50,North India,Mobile,Video,4,69622,6,0.038638978464017336,2690,1.3,3497.0,0.0854810121519116,227,170,0.9932
2025-06-21,Google,18-25,West India,Mobile,Text,19,53963,6,0.08674957508365681,4681,0.9,4212.900000000001,0.051457183891935314,238,171,0.99316
2025-06-22,Google,18-25,South India,Mobile,Image,7,53503,6,0.02733164601397255,1462,0.9,1315.8,0.07865541516072928,113,172,0.99312
2025-06-23,Google,26-35,West India,Mobile,Text,16,90000,6,0.06797955860266057,6118,0.9,5506.2,0.053308917696160314,323,173,0.99308
2025-06-24,Instagram,36-50,West India,Mobile,Image,0,42918,6,0.10302812149024912,4421,1.3,5747.3,0.058048853527532314,254,174,0.99304
2025-06-25,Google,26-35,West India,Mobile,Image,21,72868,6,0.08288900938107624,6039,0.9,5435.1,0.07696669400607936,460,175,0.993
2025-06-26,Instagram,18-25,West India,Mobile,Image,17,43542,6,0.03699895396007327,1611,1.3,2094.3,0.09086917976772836,144,176,0.99296
2025-06-27,Google,26-35,West India,Desktop,Image,11,69712,6,0.055206197083253514,3848,0.9,3463.2000000000003,0.13698748102664168,523,177,0.99292
2025-06-28,Instagram,36-50,North India,Desktop,Text,2,3416,6,0.034744363352473016,118,1.3,153.4,0.1333086749859485,14,178,0.99288
2025-06-29,Google,26-35,West India,Desktop,Video,19,41436,6,0.026555252060352117,1100,0.9,990.0,0.19226686350515187,209,179,0.99284
2025-06-30,Google,36-50,West India,Mobile,Video,13,75187,6,0.02839869575753919,2135,0.9,1921.5,0.12155903170448971,257,180,0.9928
2025-07-01,Google,36-50,South India,Mobile,Image,15,11486,7,0.028477868065733172,327,0.9,294.3,0.11504714370247555,36,181,0.99276
2025-07-02,Instagram,26-35,West India,Desktop,Text,17,19695,7,0.08889265318029449,1750,1.3,2275.0,0.04895804952320194,84,182,0.99272
2025-07-03,Instagram,18-25,South India,Desktop,Video,9,2229,7,0.027655892156588497,61,1.3,79.3,0.23237757539622833,13,183,0.99268
2025-07-04,Google,26-35,North India,Desktop,Text,22,68066,7,0.058533754373530686,3984,0.9,3585.6,0.1182290559683877,467,184,0.99264
2025-07-05,Instagram,18-25,North India,Mobile,Video,14,43347,7,0.09716286541272061,4211,1.3,5474.3,0.1808718943823578,755,185,0.9926
2025-07-06,Instagram,18-25,West India,Mobile,Image,9,2363,7,0.051460880594928,121,1.3,157.3,0.07278291319119791,7,186,0.99256
2025-07-07,Instagram,26-35,North India,Desktop,Image,0,83372,7,0.0844305954631885,7039,1.3,9150.7,0.09134443588197144,637,187,0.99252
2025-07-08,Google,18-25,West India,Mobile,Image,18,86824,7,0.07037017284966353,6109,0.9,5498.1,0.054370314515019266,329,188,0.99248
2025-07-09,Google,18-25,North India,Mobile,Video,1,88916,7,0.04758075994556329,4230,0.9,3807.0,0.19575377161352833,821,189,0.99244
2025-07-10,Google,26-35,West India,Desktop,Text,12,46869,7,0.031298284781593064,1466,0.9,1319.4,0.06801367707612356,98,190,0.9924
2025-07-11,Instagram,26-35,West India,Desktop,Image,15,50729,7,0.04480173845460208,2272,1.3,2953.6,0.12344136672882852,277,191,0.99236
